seed	boss	split	outcome	turns_played	actions_played	fallback_actions	entry_hp	player_hp	player_hp_delta	entry_encounter_hp	encounter_hp_remaining	encounter_hp_removed	score_kind	score	final_screen	last_action	monsters_hp_remaining
1949025446023073468	DonuAndDeca	train	capped	10	63	0	67	34	-33	494	122	372	monster_hp_delta	372	Grid	{"op":"proceed"}	Deca:111/250,Donu:11/250
2348068920701705132	DonuAndDeca	train	win	6	50	0	75	75	0	500	0	500	player_hp_delta	0	Terminal	{"index":0,"op":"choose"}	-
2167686151324575601	TimeEater	val	win	9	59	0	67	26	-41	456	0	456	player_hp_delta	-41	Terminal	{"index":0,"op":"choose"}	-
3764327495511946967	TimeEater	train	loss	9	52	0	79	0	-79	456	3	453	monster_hp_delta	453	Terminal	{"op":"end_turn"}	TimeEater:3/456
3676537622246404380	DonuAndDeca	train	win	12	76	0	72	18	-54	500	0	500	player_hp_delta	-54	Terminal	{"index":0,"op":"choose"}	-
3503922020206674680	TimeEater	train	loss	13	71	0	81	0	-81	456	129	327	monster_hp_delta	327	Terminal	{"hand_index":2,"op":"play","target_index":0}	TimeEater:129/456
4893012664399965717	DonuAndDeca	train	loss	7	44	0	68	0	-68	500	265	235	monster_hp_delta	235	Terminal	{"op":"end_turn"}	Deca:172/250,Donu:93/250
5913974702136161860	DonuAndDeca	train	loss	13	111	0	75	0	-75	500	79	421	monster_hp_delta	421	Terminal	{"op":"end_turn"}	Deca:79/250
1874278644178883632	TimeEater	train	loss	10	52	0	72	0	-72	456	135	321	monster_hp_delta	321	Terminal	{"op":"end_turn"}	TimeEater:135/456
5929280800346680776	TimeEater	train	loss	6	34	0	87	0	-87	456	262	194	monster_hp_delta	194	Terminal	{"op":"end_turn"}	TimeEater:262/456
817215705190213219	TimeEater	train	loss	13	70	0	70	0	-70	456	2	454	monster_hp_delta	454	Terminal	{"op":"end_turn"}	TimeEater:2/456
8458172866655657787	TimeEater	train	loss	13	81	0	68	0	-68	456	76	380	monster_hp_delta	380	Terminal	{"op":"end_turn"}	TimeEater:76/456
1535802132441422174	AwakenedOne	test	loss	10	70	0	73	0	-73	703	204	499	monster_hp_delta	499	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:204/300
1558436635380780438	DonuAndDeca	test	loss	7	45	0	60	0	-60	500	109	391	monster_hp_delta	391	Terminal	{"op":"end_turn"}	Deca:109/250
4172054336004088348	AwakenedOne	train	loss	20	99	0	75	0	-75	699	245	454	monster_hp_delta	454	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:245/300
3582487342564012012	TimeEater	val	loss	9	44	0	80	0	-80	456	237	219	monster_hp_delta	219	Terminal	{"hand_index":2,"op":"play","target_index":0}	TimeEater:237/456
2313941383928973956	AwakenedOne	train	win	14	92	0	64	12	-52	702	0	702	player_hp_delta	-52	Terminal	{"index":0,"op":"choose"}	-
953171401346934419	DonuAndDeca	train	win	10	66	0	70	22	-48	500	0	500	player_hp_delta	-48	Terminal	{"index":0,"op":"choose"}	-
2608475645044021002	TimeEater	train	win	14	89	0	65	34	-31	456	0	456	player_hp_delta	-31	Terminal	{"index":0,"op":"choose"}	-
3713964603442943802	TimeEater	test	loss	12	57	0	65	0	-65	456	207	249	monster_hp_delta	249	Terminal	{"hand_index":3,"op":"play","target_index":0}	TimeEater:207/456
8321194703458455910	TimeEater	train	loss	10	53	0	79	0	-79	456	113	343	monster_hp_delta	343	Terminal	{"op":"end_turn"}	TimeEater:113/456
2469611495815780993	DonuAndDeca	val	loss	13	76	0	68	0	-68	500	154	346	monster_hp_delta	346	Terminal	{"op":"end_turn"}	Deca:154/250
